Ethnicity,Dataset,N,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
,,,S Indian,Baloch,Caucasian,NE Euro,SE Asian,Siberian,NE Asian,Papuan,American,Beringian,Mediterranean,SW Asian,San,E African,Pygmy,W African
luhya,1000genomes,8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,30%,8%,61%
luhya,hapmap,99,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,29%,8%,61%
maasai,1000genomes,15,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,3%,71%,3%,8%
maasai,hapmap,92,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,3%,68%,3%,11%
mada,henn2012,12,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,1%,66%
madiga,reich,4,70%,24%,0%,0%,2%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,1%
maharashtrian,harappa,6,46%,35%,5%,5%,1%,1%,1%,1%,1%,1%,1%,1%,0%,0%,0%,0%
makrani,hgdp,25,10%,54%,15%,2%,1%,0%,0%,1%,0%,0%,1%,11%,0%,1%,0%,4%
mala,reich,3,73%,21%,1%,0%,2%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%
malayan,behar,1,79%,8%,1%,0%,3%,2%,1%,3%,1%,1%,0%,1%,0%,0%,0%,0%
malayan,chaubey,1,75%,9%,1%,1%,5%,1%,1%,2%,1%,1%,1%,0%,0%,0%,0%,0%
mandenka,hgdp,22,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,3%,1%,92%
mawasi,metspalu,1,69%,4%,1%,0%,20%,1%,0%,2%,0%,2%,0%,0%,0%,0%,0%,0%
maya,hgdp,21,0%,1%,0%,2%,0%,1%,0%,0%,90%,1%,3%,1%,0%,0%,0%,1%
mbutipygmy,hgdp,13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%
meena,metspalu,1,42%,41%,5%,6%,1%,0%,0%,0%,1%,0%,3%,0%,0%,0%,0%,0%
meghawal,metspalu,1,53%,35%,4%,3%,0%,1%,0%,1%,1%,0%,0%,1%,0%,0%,0%,0%
meghawal,reich,5,45%,37%,5%,6%,1%,1%,0%,1%,0%,1%,1%,1%,0%,0%,0%,0%
melanesian,hgdp,10,0%,0%,0%,0%,21%,0%,1%,78%,0%,0%,0%,0%,0%,0%,0%,0%
mexican,1000genomes,64,0%,3%,6%,12%,1%,1%,1%,0%,46%,1%,20%,3%,0%,1%,0%,3%
mexican,hapmap,1,2%,5%,8%,16%,0%,0%,0%,0%,27%,2%,26%,4%,0%,0%,1%,7%
miao,hgdp,10,0%,0%,0%,0%,37%,1%,61%,0%,0%,0%,0%,0%,0%,0%,0%,0%
mongola,hgdp,10,0%,2%,1%,1%,7%,23%,62%,0%,1%,1%,1%,0%,0%,0%,0%,0%
mongolian,rasmussen,9,1%,5%,5%,6%,0%,38%,39%,0%,1%,2%,2%,0%,0%,0%,0%,0%
mordovian,yunusbayev,15,1%,8%,9%,61%,1%,6%,0%,0%,0%,1%,12%,1%,0%,0%,0%,0%
moroccan,behar,10,1%,0%,4%,1%,0%,0%,0%,0%,0%,0%,35%,32%,0%,11%,0%,16%
morocco-jew,behar,15,1%,6%,33%,8%,0%,0%,0%,0%,0%,0%,28%,20%,0%,2%,0%,1%
morocco-n,henn2012,18,1%,1%,2%,1%,0%,0%,0%,1%,0%,0%,46%,28%,0%,10%,0%,8%
morocco-s,henn2012,16,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,36%,23%,0%,13%,0%,26%
mozabite,hgdp,29,0%,0%,1%,1%,0%,1%,0%,0%,0%,0%,40%,34%,0%,10%,0%,14%
n-european,xing,25,1%,9%,6%,52%,0%,0%,0%,0%,0%,0%,30%,1%,0%,0%,0%,0%
naga,metspalu,4,5%,0%,0%,0%,3%,8%,83%,1%,0%,0%,0%,0%,0%,0%,0%,0%
naidu,reich,4,61%,31%,1%,1%,0%,0%,1%,0%,0%,0%,0%,3%,0%,0%,0%,0%
naxi,hgdp,7,4%,0%,0%,0%,15%,7%,73%,1%,0%,0%,0%,0%,0%,0%,0%,0%
nepalese-a,xing,12,34%,38%,5%,13%,1%,2%,4%,0%,1%,0%,1%,0%,0%,0%,0%,0%
nepalese-b,xing,6,25%,8%,1%,3%,1%,6%,50%,1%,1%,1%,1%,0%,0%,0%,0%,0%
nepalese-c,xing,7,32%,25%,5%,6%,1%,3%,24%,1%,1%,1%,1%,1%,0%,0%,0%,0%
nepali,harappa,3,33%,30%,8%,10%,1%,2%,7%,1%,1%,2%,2%,1%,0%,0%,0%,0%
nganassan,rasmussen,12,0%,1%,1%,3%,0%,89%,1%,0%,0%,4%,1%,0%,0%,0%,0%,0%
