German_Lower_Saxony_South,0,0,0.22,1.67,0,8.70,0.11,0,2.86,0,8.78,0,4.64,8.68,5.49,10.09,0,8.25,0,0,0,16.01,1.24,22.06,0,0,0,0,0,0,0.55,0,0.63,0,0,0.02
German_Lower_Silesia,0,0,1.72,2.58,0,4.91,0,0,9.92,0,16.64,0,13.16,8.89,9.04,7.82,0,1.03,0,0,0,9.66,0,12.26,0,0,0,0,0,0,0,0,0,0,1.63,0.75
German_Mecklenburg_Center/East,0,0,0,1.75,0,8.32,0,0,3.37,0,11.20,0,7.14,13.81,4.97,7.55,0,1.40,0,0,0,13.94,4.30,19.98,0,0,0,0,0,0,0,0,0,0,0,2.29
German_Mecklenburg_West,0,0,0.12,1.33,0,10.31,0,0,2.88,0,13.58,0.05,8.54,12.17,5.81,8.06,0,3.63,0,0,0,12.30,0.64,20.09,0,0,0,0,0,0,0,0,0.22,0,0.30,0
German_North_Bohemia,0,0,0.11,0.85,0,7.40,0,0,7.44,0,12.44,0,9.28,8.45,6.94,13.62,0,8.78,0,0,0,10.37,2.36,10.90,0,0.08,0,0,0,0,0.12,0,0.20,0,0.07,0.55
German_North_Moravia,0,0,0,3.01,0,9.80,0,0,4.10,0,12.90,3.75,2.20,11.34,5.56,10.79,0,5.22,0,0,0,11.32,4.22,13.88,0,0,0,0,0,0,0,0,0,0,0.33,1.56
German_North_Rhine,0,0,1.17,3.50,0,5.51,0,0,1.58,0,7.75,0.54,3.32,7.71,6.18,11.59,0,15.41,0,0.52,0,10.97,2.06,18.01,0,0,0.06,0.01,0,0.08,0.76,0,0,0,0.79,2.44
German_Saarland,0,0.53,0.12,1.48,0,7.28,0,0,4.14,0,4.59,1.55,4.73,5.76,5.81,13.65,0,17.56,0,0.16,0,13.23,0.52,14.72,0,0,0,0,0,0.06,0,0,0,0,0.17,3.94
German_Saxony,0,0.10,0.67,1.25,0.09,7.44,0.12,0,4.44,0,13.81,1.36,8.42,9.51,4.69,9.16,0,8.86,0,0.05,0.17,9.13,2.21,16.43,0,0,0,0,0,0,0,0,0.18,0,0.02,1.87
German_Saxony-Anhalt_South,0.09,0.07,0.49,1.12,0,10.35,0,0,4.48,0,12.04,0,7.20,11.89,3.92,4.45,0,13.84,0,0.52,0,12.37,1.01,15.10,0,0.04,0,0,0,0,0,0,0.30,0,0,0.71
German_Schleswig-Holstein,0.16,0,0.17,2.30,0,5.86,0,0,3.14,0,7.79,0,4.74,13.52,7.84,7.48,0,7.31,0,0,0,15.36,0.35,22.46,0,0,0,0,0,0,0.12,0,0,0,0.89,0.53
German_Rhineland-Palatinate,0.03,0.25,0.59,1.58,0,6.95,0.01,0,4.37,0,3.84,2.90,3.41,8.82,6.40,14.04,0,12.71,0,0.22,0.41,12.11,1.96,15.58,0,0,0,0,0,0,0.06,0,0.17,0.07,0.39,3.13
German_Rhineland-Palatinate_East_of_Rhine,0,0.68,0,3.09,0,6.18,0,0,0,0,7.58,1.05,1.34,10.03,8.25,12.11,0,15.40,0,0,0,12.95,2.85,16.90,0,0,0,0,0,0,0,0,0,0,0.97,0.63
German_Thuringia_Central,0,0.24,0.75,3.07,0,8.18,0,0,4.72,0,12.31,0.41,8.99,7.46,7.15,13.89,0,7.70,0,0,0,10.07,0.29,11.47,0,0.02,0,0,0,0.25,0.05,0,0.82,0,1.86,0.28
German_Thuringia_East,0.21,0.05,0.42,1.95,0,7.98,0,0,5.58,0,13.29,0.48,9.51,10.63,4.21,6.22,0,10.08,0,0.27,0,11.77,1.38,13.79,0,0,0,0,0,0,0.17,0,0.45,0,1.28,0.27
German_West_Bohemia,0,0,0,0,0,7.83,0,0,1.84,0,8.05,4.31,7.74,10.51,6.45,12.13,0,8.43,0,0,0,9.36,1.13,15.94,0,0,0,0,0,0,0,0,0,0,1.88,4.40
German_West_Prussia,0,0,0.09,1.46,0,9.29,0,0,4.10,0,16.68,0.15,12.86,11.49,4.37,7.59,0,2.91,0,0,0,10.64,0.84,14.83,0,0.02,0,0,0,0,0.12,0,0.51,0,1.17,0.87
German_Westphalia,0,0,0.31,1.93,0,8.36,0,0,2.01,0,6.74,0,4.81,11.58,5.78,8.67,0,7.94,0,0.13,0,15.25,2.80,22.07,0,0,0,0,0,0,0.10,0,0.56,0,0.18,0.79
Greek,0.03,2.10,5.88,1.25,0.00,3.68,0,0,7.83,0.00,4.68,13.06,2.68,1.11,2.45,8.52,0,20.13,0.00,7.78,0.34,1.79,5.41,2.69,0.00,0.02,0,0,0,0.00,0.12,0,0.16,0,2.95,5.21
Greek_Central-Macedonia,0.06,1.31,3.95,1.59,0.06,3.16,0,0,10.12,0,6.08,12.74,4.71,1.58,2.22,8.05,0,18.74,0.00,6.71,0.52,2.45,3.54,2.80,0.01,0,0,0,0,0.02,0.10,0.00,0.39,0,3.29,5.66
Greek_NE,0.06,1.56,4.51,1.53,0,6.31,0,0,7.93,0,5.99,11.33,2.73,1.48,2.39,6.88,0,19.31,0,7.36,0.12,3.87,5.01,3.29,0,0,0,0,0,0.09,0.02,0,0.05,0,2.53,5.56
Hungarian,0.11,0.34,0.60,1.01,0.03,7.81,0.00,0.02,5.67,0.03,15.07,1.97,10.86,7.69,3.74,8.55,0.03,11.45,0.00,0.78,0.19,7.22,2.25,9.21,0.03,0.04,0.03,0.03,0.15,0.19,0.68,0.00,1.27,0.00,0.91,1.59
Icelandic,0.09,0,0,2.50,0.01,7.71,0,0,0.89,0,7.02,0,3.67,14.97,6.59,9.96,0,4.68,0,0,0.03,17.51,1.74,21.15,0,0,0,0.01,0,0,0.39,0,0.70,0,0.13,0.15
Irish_Connacht,0.09,0,0.01,2.90,0,6.36,0,0,1.16,0,6.64,0,4.90,8.03,7.62,14.69,0,4.03,0,0,0.01,19.64,2.62,19.78,0,0,0,0.00,0,0.11,0.54,0,0.52,0,0.12,0.15
Irish_Leinster,0.04,0,0.03,2.59,0,6.33,0,0,1.36,0,6.45,0,4.60,7.92,8.03,14.66,0,6.32,0,0,0,19.64,1.77,18.83,0,0.01,0,0,0,0.03,0.30,0,0.57,0,0.17,0.27
Irish_Munster,0.13,0,0.05,2.80,0.00,6.16,0,0,0.94,0,6.68,0,4.55,7.76,8.14,14.6,0,4.89,0,0,0,19.88,1.98,20.03,0,0.01,0,0,0,0.02,0.59,0,0.44,0,0.10,0.15
Irish_Ulster,0.12,0,0,2.88,0,5.74,0,0,1.38,0,7.06,0,4.54,7.17,8.14,16.19,0,3.44,0,0,0,20.56,2.20,18.98,0,0.00,0,0,0,0.05,0.78,0,0.46,0,0.15,0.05
Italian,0.01,2.05,4.20,1.83,0,3.22,0,0,4.46,0.01,2.38,10.72,0.89,0.94,3.91,13.31,0.00,22.10,0,6.83,0.97,4.64,1.97,6.07,0.02,0.01,0.00,0,0,0.05,0.04,0.00,0.25,0,2.71,6.11
Italian_North,0.00,0.53,2.16,1.73,0,4.68,0,0,4.33,0,4.51,4.66,2.21,1.61,4.98,15.06,0,21.63,0,2.64,0.15,8.46,1.82,10.76,0.00,0.01,0.00,0,0,0.12,0.00,0,0.44,0,1.03,5.93
Italian_South,0.00,4.10,5.79,1.64,0,1.78,0,0,3.92,0,1.39,16.08,0.13,0.26,2.50,10.79,0,21.85,0,11.56,2.04,1.99,2.42,1.73,0.05,0.02,0.00,0,0,0.01,0.08,0,0.05,0,4.08,5.63
